aggregation_timestamp,n_requests,operation,snapshot_id,n_context,n_context_tokens_total,n_generated,n_generated_tokens_total
2023-07-19T12:45:00.000Z,2,completion,text-davinci:003,2,412,2,505
2023-07-19T12:50:00.000Z,8,completion,text-davinci:003,8,1027,8,1857
2023-07-19T12:55:00.000Z,1,completion,gpt-4-0613,1,12,1,12
2023-07-19T13:10:00.000Z,5,completion,text-davinci:003,5,1216,5,978
2023-07-19T13:20:00.000Z,1,completion,gpt-4-0613,1,42,1,69
2023-07-19T14:30:00.000Z,1,completion,text-davinci:003,1,99,1,244
2023-07-19T14:35:00.000Z,1,completion,text-davinci:003,1,73,1,138
2023-07-19T15:35:00.000Z,1,completion,gpt-4-0613,1,714,1,83
2023-07-19T15:40:00.000Z,1,completion,gpt-4-0613,1,1155,1,351
2023-07-19T15:50:00.000Z,2,completion,gpt-4-0613,2,445,2,435
2023-07-19T16:20:00.000Z,1,completion,text-davinci:003,1,98,1,189
2023-07-19T19:45:00.000Z,2,completion,curie:ft-sj-innovation-2023-07-19-18-47-10,2,205,2,210
2023-07-19T19:50:00.000Z,2,completion,curie:ft-sj-innovation-2023-07-19-18-47-10,2,192,2,400
2023-07-19T20:50:00.000Z,1,completion,curie:ft-sj-innovation-2023-07-19-18-47-10,1,92,1,200
2023-07-20T02:30:00.000Z,1,completion,gpt-3.5-turbo-0613,1,529,1,1112
2023-07-20T03:25:00.000Z,4,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,4,384,4,664
2023-07-20T03:35:00.000Z,2,completion,gpt-4-0613,2,20,2,217
2023-07-20T03:40:00.000Z,3,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,3,296,3,600
2023-07-20T03:50:00.000Z,3,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,3,296,3,529
2023-07-20T04:00:00.000Z,2,completion,gpt-4-0613,2,20,2,206
2023-07-20T04:05:00.000Z,6,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,6,101,6,1144
2023-07-20T04:10:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,1,14,1,200
2023-07-20T04:15:00.000Z,1,completion,gpt-4-0613,1,9,1,9
2023-07-20T04:20:00.000Z,1,completion,gpt-4-0613,1,9,1,9
2023-07-20T04:25:00.000Z,1,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,1,14,1,111
2023-07-20T04:35:00.000Z,3,completion,davinci:ft-sj-innovation-2023-07-20-01-12-54,3,42,3,536
